model,position,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,selected,holdout_auc,holdout_accuracy
m3_soft_vote,prompt_end_minus_16,5,0.6081188393003266,0.14893463488867584,0.5856030499822299,0.5397727272727273,0.5405318083422184,True,,
m3_soft_vote,prompt_end_minus_15,5,0.5523732363169794,0.09937374682215183,0.5346838551258442,0.5426136363636364,0.5403864172401538,False,,
m3_soft_vote,prompt_end_minus_14,5,0.4980142647934386,0.06469959497334314,0.47436270233595035,0.48011363636363635,0.4768666602048399,False,,
m3_soft_vote,prompt_end_minus_13,5,0.42487472004777915,0.07255554911360781,0.4023779522471002,0.4289772727272727,0.42698135762980194,False,,
m3_soft_vote,prompt_end_minus_12,5,0.45657254690558613,0.07249273298467729,0.4513909082097509,0.4744318181818182,0.4744111660366386,False,,
m3_soft_vote,prompt_end_minus_11,5,0.5083872643169638,0.05845899960821029,0.474265774934574,0.4431818181818182,0.4443475170430681,False,,
m3_soft_vote,prompt_end_minus_10,5,0.48890648577777984,0.07531656601630983,0.5019547025944234,0.4772727272727273,0.47701205130690444,False,,
m3_soft_vote,prompt_end_minus_09,5,0.4454033150831303,0.03405775352441713,0.48473393428322187,0.48295454545454547,0.48189073050951503,False,,
m3_soft_vote,prompt_end_minus_08,5,0.43705445707419,0.051085199311328086,0.4662208006203354,0.5,0.5007269555103228,False,,
m3_soft_vote,prompt_end_minus_07,5,0.4323805210958417,0.08306870432227559,0.4266421117249847,0.41761363636363635,0.4159316338728959,False,,
m3_soft_vote,prompt_end_minus_06,5,0.45528131542891365,0.06733134657825375,0.42622209298568703,0.45738636363636365,0.45557494103583085,False,,
m3_soft_vote,prompt_end_minus_05,5,0.41016989425412803,0.05068335577135355,0.3703919097928985,0.39204545454545453,0.3892927530612904,False,,
m3_soft_vote,prompt_end_minus_04,5,0.42012169220033935,0.02807915987608082,0.39446221446803015,0.41761363636363635,0.41690090788665957,False,,
m3_soft_vote,prompt_end_minus_03,5,0.44131600420140443,0.06554202086487626,0.43849956382669375,0.45170454545454547,0.44956544215049593,False,,
m3_soft_vote,prompt_end_minus_02,5,0.4629617600146981,0.04498546036360686,0.46573616361345355,0.4943181818181818,0.49229427159057865,False,,
m3_soft_vote,prompt_end_minus_01,5,0.4415891405085898,0.045909465105391595,0.43436399470130205,0.4431818181818182,0.4382087816225647,False,,
m3_stacked_soft_vote,all_positions,5,0.466487520230359,0.07063049404037186,0.44244127814933276,0.4659090909090909,0.4630545055087073,False,,
