model,cohort,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m1_logreg__lens,all,352,171,5,0.48997680737074667,0.09163401708150846,0.47491195761041644,0.4971590909090909,0.4963490678814901
m1_xgb__lens,all,352,171,5,0.434633181163529,0.08412296628937217,0.4473845756195276,0.48011363636363635,0.47961293657717036
