model,features,n_features,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,fold_parameters,final_parameters,holdout_auc,holdout_accuracy
m1_logreg__lens,lens,12,352,171,5,0.48997680737074667,0.09163401708150846,0.47491195761041644,0.4971590909090909,0.4963490678814901,"[{'logisticregression__C': 0.01}, {'logisticregression__C': 0.01}, {'logisticregression__C': 1.0}, {'logisticregression__C': 0.01}, {'logisticregression__C': 1.0}]",{'logisticregression__C': 0.1},,
m1_xgb__lens,lens,12,352,171,5,0.434633181163529,0.08412296628937217,0.4473845756195276,0.48011363636363635,0.47961293657717036,"[{'learning_rate': 0.05, 'max_depth': 2}, {'learning_rate': 0.1, 'max_depth': 3}, {'learning_rate': 0.05, 'max_depth': 2}, {'learning_rate': 0.1, 'max_depth': 2}, {'learning_rate': 0.1, 'max_depth': 2}]","{'learning_rate': 0.1, 'max_depth': 2}",,
