model,position,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,selected,holdout_auc,holdout_accuracy
m3_soft_vote,prompt_end_minus_16,5,0.6264092656976985,0.15179917012170455,0.704574038341408,0.6896024464831805,0.656491802823549,False,,
m3_soft_vote,prompt_end_minus_15,5,0.6021050851045348,0.1310631174265649,0.7176922970140344,0.7110091743119266,0.6770617876924359,False,,
m3_soft_vote,prompt_end_minus_14,5,0.5618783211511884,0.19661943098792034,0.7105071005177894,0.735474006116208,0.6821036411843914,False,,
m3_soft_vote,prompt_end_minus_13,5,0.6267894103496687,0.09846370173826688,0.7295251051542957,0.699796126401631,0.6729555645015756,False,,
m3_soft_vote,prompt_end_minus_12,5,0.692386436593087,0.04851244666801683,0.7671890833877035,0.7420998980632009,0.705193164623735,False,,
m3_soft_vote,prompt_end_minus_11,5,0.6417223756927348,0.20787695729041028,0.79968071963019,0.7543323139653415,0.761575301581132,False,,
m3_soft_vote,prompt_end_minus_10,5,0.6985655990942401,0.07759496871728448,0.7946916168080291,0.7533129459734964,0.7545428043921873,False,,
m3_soft_vote,prompt_end_minus_09,5,0.7446496800069439,0.15349614956459376,0.8728875439010508,0.8246687054026504,0.8159279259269543,False,,
m3_soft_vote,prompt_end_minus_08,5,0.6277319047692991,0.23931859457906834,0.796829407110235,0.7680937818552498,0.7412510237794466,False,,
m3_soft_vote,prompt_end_minus_07,5,0.7417755369182076,0.12115336898545698,0.8506573011091524,0.7573904179408767,0.7762094479225954,False,,
m3_soft_vote,prompt_end_minus_06,5,0.8140817234992672,0.03064141969840347,0.8741285728167469,0.8318042813455657,0.830684231714258,False,,
m3_soft_vote,prompt_end_minus_05,5,0.7441716403439619,0.11868855573329108,0.8544664547385371,0.8063200815494393,0.8099920873995308,False,,
m3_soft_vote,prompt_end_minus_04,5,0.710204774255201,0.18554769123948164,0.8318058775351556,0.754841997961264,0.7790954648305732,False,,
m3_soft_vote,prompt_end_minus_03,5,0.7489745281992101,0.09020535457457071,0.8119494148840178,0.7477064220183486,0.7686480558601829,False,,
m3_soft_vote,prompt_end_minus_02,5,0.854074251940745,0.059449512103623404,0.8860391187861794,0.8231396534148828,0.8258464400238765,True,,
m3_soft_vote,prompt_end_minus_01,5,0.7738298463724866,0.09379681169772504,0.8731846134625262,0.817533129459735,0.8270250010411316,False,,
m3_stacked_soft_vote,all_positions,5,0.7329727691013441,0.12998453814078512,0.8508183294695782,0.8165137614678899,0.8070658134014466,False,,
