model,features,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,fold_parameters,final_parameters,holdout_auc,holdout_accuracy
m1_logreg,single_token_bank,1962,205,5,0.6164392522886548,0.08780308352854269,0.6827852353651596,0.7217125382262997,0.6571845024084846,"[{'logisticregression__C': 0.01}, {'logisticregression__C': 10.0}, {'logisticregression__C': 10.0}, {'logisticregression__C': 10.0}, {'logisticregression__C': 10.0}]",{'logisticregression__C': 10.0},,
m1_xgb,single_token_bank,1962,205,5,0.6202567248391841,0.03899081561921969,0.6571012118772297,0.7497451580020388,0.6297472132376418,"[{'learning_rate': 0.05, 'max_depth': 2}, {'learning_rate': 0.05, 'max_depth': 2}, {'learning_rate': 0.05, 'max_depth': 3}, {'learning_rate': 0.05, 'max_depth': 3}, {'learning_rate': 0.05, 'max_depth': 2}]","{'learning_rate': 0.05, 'max_depth': 2}",,
