model,system_id,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m3,pooled,1962,205,5,0.854074251940745,0.059449512103623404,0.8860391187861794,0.8231396534148828,0.8258464400238765
m3,sys_strict,1962,205,5,0.854074251940745,0.059449512103623404,0.8860391187861794,0.8231396534148828,0.8258464400238765
