model,system_id,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m2_topk_only,pooled,1962,205,5,0.8707014922576839,0.05997215514553978,0.901928175798548,0.8363914373088684,0.8375543123672557
m2_topk_only,sys_strict,1962,205,5,0.8707014922576839,0.05997215514553978,0.901928175798548,0.8363914373088684,0.8375543123672557
