model,position,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,selected,holdout_auc,holdout_accuracy
m3_soft_vote,prompt_end_minus_16,5,0.6532955581605593,0.06282541822901541,0.6556987212152094,0.6310679611650486,0.6353886098371795,True,,
m3_soft_vote,prompt_end_minus_15,5,0.5410115328962173,0.05724226611900717,0.547984761350125,0.5461165048543689,0.5500351847807624,False,,
m3_soft_vote,prompt_end_minus_14,5,0.5319759595297154,0.07827243824093885,0.5394190871369295,0.5364077669902912,0.5408871417825338,False,,
m3_soft_vote,prompt_end_minus_13,5,0.4714233436831939,0.05565592611085074,0.47441217150760717,0.46601941747572817,0.4730775763752396,False,,
m3_soft_vote,prompt_end_minus_12,5,0.4979507307436798,0.10105316382188992,0.4925626653078062,0.4830097087378641,0.4884496857635098,False,,
m3_soft_vote,prompt_end_minus_11,5,0.5392355579824193,0.06796598030850844,0.5076314576205381,0.5097087378640777,0.5163669893960351,False,,
m3_soft_vote,prompt_end_minus_10,5,0.5313438782532138,0.098544860442873,0.524714275314843,0.5194174757281553,0.5161728664676907,False,,
m3_soft_vote,prompt_end_minus_09,5,0.5508487285113797,0.0761722027716751,0.5631748804930723,0.5388349514563107,0.5387153915216811,False,,
m3_soft_vote,prompt_end_minus_08,5,0.5370873208817262,0.07367285467411379,0.5058843512654387,0.5048543689320388,0.512217611802674,False,,
m3_soft_vote,prompt_end_minus_07,5,0.5424349304457078,0.10427214792948683,0.52158404309529,0.5218446601941747,0.5335347358714906,False,,
m3_soft_vote,prompt_end_minus_06,5,0.4930653518075844,0.12082752135343336,0.4346169711970105,0.45145631067961167,0.45978015578365,False,,
m3_soft_vote,prompt_end_minus_05,5,0.5492618252733515,0.17372199329848176,0.5234282109145616,0.5048543689320388,0.5071218849336343,False,,
m3_soft_vote,prompt_end_minus_04,5,0.5344574966632434,0.0682296939348013,0.520540632355439,0.4975728155339806,0.4958020916745529,False,,
m3_soft_vote,prompt_end_minus_03,5,0.5121079654456661,0.08053488980728213,0.5092572371454224,0.4975728155339806,0.493254228240033,False,,
m3_soft_vote,prompt_end_minus_02,5,0.5773434645753115,0.1406584448296436,0.5705272864041154,0.5509708737864077,0.5533352745626168,False,,
m3_soft_vote,prompt_end_minus_01,5,0.5353625275409214,0.12686850271101635,0.5132852879085681,0.4830097087378641,0.4842032467059766,False,,
m3_stacked_soft_vote,all_positions,5,0.5416223894177542,0.11744796107812532,0.5239863143335517,0.5,0.5038217951517798,False,,
