model,cohort,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m2_topk_plus_rank,all,412,171,5,0.6761394824278101,0.07122354141245016,0.6733881730605905,0.6407766990291263,0.6411395015893815
m2_topk_plus_rank,unauthorized,352,171,5,0.6588995941240905,0.1449361681146623,0.624729411004491,0.6164772727272727,0.6172175373978224
