model,system_id,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m1_logreg,pooled,412,171,5,0.47612395133376106,0.05624360364651912,0.47419378321321976,0.4830097087378641,0.4977918516900827
m1_logreg,sys_strict,412,171,5,0.47612395133376106,0.05624360364651912,0.47419378321321976,0.4830097087378641,0.4977918516900827
m1_xgb,pooled,412,171,5,0.4527822356571159,0.056005672945391154,0.4528159957292956,0.4587378640776699,0.4498677537550654
m1_xgb,sys_strict,412,171,5,0.4527822356571159,0.056005672945391154,0.4528159957292956,0.4587378640776699,0.4498677537550654
