model,cohort,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m3,all,412,171,5,0.6532955581605593,0.06282541822901541,0.6556987212152094,0.6310679611650486,0.6353886098371795
m3,unauthorized,352,171,5,0.6360459791956782,0.13043704067660045,0.6113211204807599,0.6051136363636364,0.6066524506477982
