model,system_id,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m3,pooled,412,171,5,0.6532955581605593,0.06282541822901541,0.6556987212152094,0.6310679611650486,0.6353886098371795
m3,sys_strict,412,171,5,0.6532955581605593,0.06282541822901541,0.6556987212152094,0.6310679611650486,0.6353886098371795
