model,features,n_features,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,fold_parameters,final_parameters,holdout_auc,holdout_accuracy
m1_logreg__lens,lens,12,352,49,4,0.7229464786756453,0.15848489516797795,0.6722570216205295,0.6647727272727273,0.6598639455782312,"[{'logisticregression__C': 0.01}, {'logisticregression__C': 0.01}, {'logisticregression__C': 10.0}, {'logisticregression__C': 0.01}, {'logisticregression__C': 0.01}]",{'logisticregression__C': 10.0},,
m1_xgb__lens,lens,12,352,49,4,0.7189253647586982,0.13581397243184393,0.6611436653869469,0.8636363636363636,0.6556206641072271,"[{'learning_rate': 0.05, 'max_depth': 3}, {'learning_rate': 0.1, 'max_depth': 3}, {'learning_rate': 0.1, 'max_depth': 3}, {'learning_rate': 0.05, 'max_depth': 3}, {'learning_rate': 0.1, 'max_depth': 3}]","{'learning_rate': 0.05, 'max_depth': 2}",,
