model,cohort,n_dev,n_leaks,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy
m1_logreg__lens,all,352,49,4,0.7229464786756453,0.15848489516797795,0.6722570216205295,0.6647727272727273,0.6598639455782312
m1_xgb__lens,all,352,49,4,0.7189253647586982,0.13581397243184393,0.6611436653869469,0.8636363636363636,0.6556206641072271
