model,position,n_auc_folds,mean_fold_auc,fold_auc_std,oof_auc,oof_accuracy,oof_balanced_accuracy,selected,holdout_auc,holdout_accuracy
m3_soft_vote,prompt_end_minus_16,4,0.693120440516274,0.15103565995302387,0.6919916481444064,0.7045454545454546,0.6487505893446488,False,,
m3_soft_vote,prompt_end_minus_15,4,0.6664720117845118,0.09795457630386446,0.6022765541860309,0.6505681818181818,0.6259513706472688,False,,
m3_soft_vote,prompt_end_minus_14,4,0.7114016320613543,0.06315778766685907,0.6661278372735232,0.6619318181818182,0.6411059473294268,False,,
m3_soft_vote,prompt_end_minus_13,4,0.6983235129068462,0.1228682154925782,0.632451000202061,0.6732954545454546,0.5963831076985249,False,,
m3_soft_vote,prompt_end_minus_12,4,0.6459496586232698,0.11113410764690819,0.6129184347006129,0.6505681818181818,0.6002896207988146,False,,
m3_soft_vote,prompt_end_minus_11,4,0.6602424710063599,0.09653153224712714,0.6755573516535327,0.7329545454545454,0.6652522395096652,False,,
m3_soft_vote,prompt_end_minus_10,4,0.6891028338945006,0.11044942547207647,0.719808715565434,0.6619318181818182,0.6582137805617296,False,,
m3_soft_vote,prompt_end_minus_09,4,0.7949518331462777,0.0722710517952448,0.6760288273725332,0.6761363636363636,0.5980332727150266,False,,
m3_soft_vote,prompt_end_minus_08,4,0.7156401982790872,0.1251614062100546,0.7101097864888529,0.7272727272727273,0.6533979928605105,False,,
m3_soft_vote,prompt_end_minus_07,4,0.7295565609801721,0.14528535360079117,0.6843133292921129,0.6761363636363636,0.6408028557957837,False,,
m3_soft_vote,prompt_end_minus_06,4,0.7890648381967826,0.07883670833782809,0.7851417794840708,0.7840909090909091,0.7462787095036034,False,,
m3_soft_vote,prompt_end_minus_05,4,0.6213442293303404,0.16359840564586686,0.6406007947733549,0.6960227272727273,0.6266922610628409,False,,
m3_soft_vote,prompt_end_minus_04,4,0.7725589225589227,0.05129447573952382,0.7784064120697783,0.7670454545454546,0.7363777194045935,False,,
m3_soft_vote,prompt_end_minus_03,4,0.7522283015338571,0.12322305001928328,0.7293729372937294,0.7642045454545454,0.6662962214588806,False,,
m3_soft_vote,prompt_end_minus_02,4,0.8003291011971567,0.12531193866391707,0.7916750858759345,0.78125,0.727520711254799,False,,
m3_soft_vote,prompt_end_minus_01,4,0.8226039328469885,0.10567448941763662,0.8304708021822591,0.8039772727272727,0.7749376978514178,True,,
m3_stacked_soft_vote,all_positions,4,0.7781103862701084,0.1123608251050674,0.7497137468848926,0.7698863636363636,0.7038122179564895,False,,
